"","city","county_name","lat","lng","zips"
"96","Topanga","Los Angeles",34.0964,-118.6053,"90290"
"97","Norco","Riverside",33.9253,-117.55,"92860"
"98","Knightsen","Contra Costa",37.9633,-121.6511,"94548 94513"
"99","Maxwell","Colusa",39.2771,-122.1946,"95955"
"100","Rocklin","Placer",38.8078,-121.2491,"95677 95765"
"101","Carmel Valley Village","Monterey",36.4824,-121.7198,"93924 93922"
"102","Cameron Park","El Dorado",38.6733,-120.9871,"95682 95672"
"103","Salinas","Monterey",36.6881,-121.6316,"93901 93905 93906 93902 93915"
"104","West Rancho Dominguez","Los Angeles",33.9057,-118.2682,"90248 90061 90059 90220"
"105","Poplar","Tulare",36.0533,-119.1432,"93258"
"106","Pinehurst","Fresno",36.6952,-119.0165,"93641"
"107","San Miguel","San Luis Obispo",35.7534,-120.6925,"93451"
"108","Goffs","San Bernardino",34.9192,-115.0628,"92332"
"109","Newark","Alameda",37.5204,-122.0312,"94560"
"110","Apple Valley","San Bernardino",34.5329,-117.2102,"92308 92307"
"111","Del Rosa","San Bernardino",34.1489,-117.2434,"92346"
"112","Bell Gardens","Los Angeles",33.9663,-118.155,"90201 90202"
"113","Lodi","San Joaquin",38.1218,-121.2933,"95240 95242"
"114","Montague","Siskiyou",41.7275,-122.5302,"96064"
"115","Foster City","San Mateo",37.5553,-122.2659,"94404"
"116","Orcutt","Santa Barbara",34.8668,-120.4269,"93455 93457"
"117","Ladera","San Mateo",37.3996,-122.1991,"94028"
"118","Vallejo","Solano",38.1134,-122.2359,"94592 94591 94589 94590"
"119","Vidal","San Bernardino",34.1189,-114.5102,"92280"
"120","Challenge","Yuba",39.4874,-121.2236,"95925"
"121","La Riviera","Sacramento",38.5684,-121.3544,"95827 95826"
"122","Indio","Riverside",33.7346,-116.2347,"92241 92201 92203"
"123","Jamul","San Diego",32.7184,-116.8709,"91978 91935 92022"
"124","Foresthill","Placer",39.0053,-120.8314,"95631"
"125","Rainbow","San Diego",33.4098,-117.1394,"92028"
"126","Redcrest","Humboldt",40.3987,-123.9474,"95569"
"127","Cromberg","Plumas",39.8684,-120.6905,"96103"
"128","Hodge","San Bernardino",34.8155,-117.1934,"92311"
"129","Tiburon","Marin",37.8853,-122.4636,"94920"
"130","Hesperia","San Bernardino",34.3974,-117.3144,"92345 92344 92340"
"131","Jamestown","Tuolumne",37.9572,-120.4111,"95327"
"132","Azusa","Los Angeles",34.1386,-117.9124,"91702 91010"
"133","Narod","San Bernardino",34.0581,-117.6845,"91762"
"134","Big Bear Lake","San Bernardino",34.243,-116.8955,"92315"
"135","Yosemite Lakes","Madera",37.1886,-119.7723,"93614"
"136","Morongo Valley","San Bernardino",34.0724,-116.5627,"92256"
"137","Concow","Butte",39.7733,-121.5196,"95965"
"138","Helendale","San Bernardino",34.7439,-117.3245,"92342"
"139","Fall River Mills","Shasta",41.0069,-121.4401,"96028"
"140","Emeryville","Alameda",37.8382,-122.2932,"94608 94662"
"141","Fairhaven","Humboldt",40.7884,-124.2014,"95564"
"142","Elverta","Sacramento",38.7185,-121.4455,"95626"
"143","Paradise Park","Santa Cruz",37.0063,-122.0425,"95060"
"144","Aspen Springs","Mono",37.55,-118.7087,"93546"
"145","Hollister","San Benito",36.8564,-121.3981,"95023 95024"
"146","Fair Oaks","Sacramento",38.6504,-121.2498,"95628"
"147","Vina","Tehama",39.9343,-122.0518,"96092"
"148","Brooktrails","Mendocino",39.4429,-123.3963,"95490"
"149","Whitethorn","Humboldt",40.0238,-123.9431,"95589"
"150","Meiners Oaks","Ventura",34.4505,-119.273,"93023"
"151","Paskenta","Tehama",39.8833,-122.5457,"96074 96029"
"152","Winter Gardens","San Diego",32.8376,-116.9269,"92021 92040"
"153","Tupman","Kern",35.2987,-119.3577,"93276"
"154","Cherokee","Butte",39.6514,-121.5345,"95965"
"155","Sand City","Monterey",36.6189,-121.8478,"93955"
"156","Rancho Santa Fe","San Diego",33.024,-117.1992,"92067"
"157","Buellton","Santa Barbara",34.6152,-120.1943,"93427"
"158","Waterford","Stanislaus",37.643,-120.7553,"95386"
"159","Silverado","Orange",33.7461,-117.637,"92676"
"160","Golden Hills","Kern",35.1512,-118.5024,"93561"
"161","Dorrington","Calaveras",38.2949,-120.2706,"95223"
"162","Standish","Lassen",40.3652,-120.4222,"96128"
"163","Loleta","Humboldt",40.6409,-124.2225,"95551"
"164","McKinleyville","Humboldt",40.9488,-124.0857,"95519"
"165","Cathedral City","Riverside",33.8363,-116.4662,"92241 92234 92235"
"166","Minkler","Fresno",36.7276,-119.4587,"93657"
"167","Pike","Sierra",39.4278,-120.9996,"95960"
"168","Pine Flat","Tulare",35.8737,-118.6427,"93207"
"169","Rolinda","Fresno",36.7352,-119.9618,"93706"
"170","Hinkley","San Bernardino",34.9347,-117.1992,"92347"
"171","Dos Rios","Mendocino",39.7168,-123.3533,"95429"
"172","Weedpatch","Kern",35.2369,-118.9123,"93307 93241"
"173","Cayucos","San Luis Obispo",35.4375,-120.8847,"93430"
"174","Fallbrook","San Diego",33.3693,-117.2259,"92028 92088"
"175","Emerald Bay","Orange",33.5525,-117.8092,"92651"
"176","Buena Park","Orange",33.8572,-118.0046,"90621 90620 90622 90624"
"177","Panorama Heights","Orange",33.7778,-117.7981,"92705"
"178","Trinidad","Humboldt",41.0589,-124.1434,"95570"
"179","Farmington","San Joaquin",37.9299,-121.0043,"95230"
"180","Mono Vista","Tuolumne",38.0124,-120.2697,"95370"
"181","Shore Acres","Contra Costa",38.0358,-121.9655,"94565"
"182","Saranap","Contra Costa",37.8878,-122.0761,"94595"
"183","Kelseyville","Lake",38.9704,-122.8327,"95451"
"184","Lakeport","Lake",39.0392,-122.9218,"95453"
"185","Castle Park","San Diego",32.6103,-117.0675,"91911"
"186","Omo Ranch","El Dorado",38.5813,-120.5733,"95684"
"187","Williams","Colusa",39.1489,-122.1373,"95987"
"188","West Athens","Los Angeles",33.9235,-118.3033,"90044 90047"
"189","Santa Ana Heights","Orange",33.6525,-117.8956,"92627"
"190","Pinedale","Fresno",36.8427,-119.7899,"93650"
"191","El Segundo","Los Angeles",33.9169,-118.4021,"90245"
"192","Forbestown","Butte",39.5301,-121.2689,"95941"
"193","Paso Robles","San Luis Obispo",35.6266,-120.691,"93446"
"194","Los Altos","Santa Clara",37.3685,-122.0965,"94022 94024 94023"
"195","Bakersfield","Kern",35.3528,-119.0354,"93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93384 93385 93387 93389 93390"
"196","Black Point","Marin",38.1102,-122.5055,"94945"
"197","Cutler","Tulare",36.5263,-119.2884,"93615"
"198","San Bernardino","San Bernardino",34.1412,-117.2936,"92401 92407 92405 92408 92404 92411 92410 92346 92403 92406 92415 92418 92423 92427"
"199","Long Barn","Tuolumne",38.0956,-120.1285,"95335"
"200","June Lake","Mono",37.7677,-119.1022,"93529"
"201","Walnut Grove","Sacramento",38.2478,-121.528,"95690"
"202","Encinitas","San Diego",33.0492,-117.2613,"92007 92075 92024 92023"
"203","Rubidoux","Riverside",33.9961,-117.4056,"92509"
"204","Loomis","Placer",38.8093,-121.1955,"95650"
"205","Trowbridge","Sutter",38.9263,-121.5148,"95659 95674"
"206","Santa Fe Springs","Los Angeles",33.933,-118.0625,"90670 90671"
"207","Twain","Plumas",40.0355,-121.0404,"95984"
"208","Eldridge","Sonoma",38.3338,-122.5065,"95476 95442"
"209","Old Station","Shasta",40.6722,-121.4228,"96071"
"210","Paradise","Butte",39.7558,-121.6063,"95969 95967"
"211","Granite Bay","Placer",38.7601,-121.1714,"95746 95650"
"212","Covelo","Mendocino",39.8025,-123.2499,"95428"
"213","American Canyon","Napa",38.1798,-122.2583,"94503"
"214","El Centro","Imperial",32.7873,-115.5578,"92243 92244"
"215","Whittier","Los Angeles",33.9678,-118.0188,"90602 90603 90601 90606 90605 90607 90608 90609"
"216","Spring Garden","Plumas",39.9012,-120.7935,"95971"
"217","Pacheco","Contra Costa",37.9878,-122.07,"94553"
"218","Cowan Heights","Orange",33.7778,-117.7739,"92705"
"219","Millville","Shasta",40.5576,-122.1696,"96062 96073"
"220","East Orosi","Tulare",36.5481,-119.2599,"93647"
"221","Almonte","Marin",37.8899,-122.525,"94941"
"222","Eagleville","Modoc",41.319,-120.1146,"96110"
"223","Soda Springs","Nevada",39.3248,-120.3784,"95728"
"224","Pine Hills","Humboldt",40.7313,-124.1551,"95503"
"225","Washington","Nevada",39.3591,-120.7905,"95959 95986"
"226","Duarte","Los Angeles",34.1609,-117.9505,"91010 91009"
"227","Rockport","Mendocino",39.7388,-123.8161,"95488"
"228","Three Rivers","Tulare",36.4319,-118.8806,"93271 93237"
"229","Sanger","Fresno",36.6993,-119.5575,"93657"
"230","Chula Vista","San Diego",32.6281,-117.0144,"91911 91910 91913 91915 91914 91902 91908 91909 91912 91921"
"231","Indianola","Humboldt",40.8133,-124.0808,"95503 95524 95502"
"232","Mammoth Lakes","Mono",37.6273,-118.99,"93546"
"233","Dustin Acres","Kern",35.2159,-119.375,"93268"
"234","Jackson","Amador",38.3485,-120.7724,"95642"
"235","Di Giorgio","Kern",35.2527,-118.8515,"93203"
"236","Phoenix Lake","Tuolumne",38.0075,-120.309,"95370"
"237","Adelanto","San Bernardino",34.5868,-117.4411,"92301"
"238","China Lake Acres","Kern",35.6387,-117.7667,"93555"
"239","Vinton","Plumas",39.8043,-120.1783,"96135"
"240","Rio Del Mar","Santa Cruz",36.9607,-121.8807,"95003"
"241","Fort Jones","Siskiyou",41.6085,-122.841,"96032"
"242","Conejo","Fresno",36.5183,-119.719,"93662"
"243","Twentynine Palms","San Bernardino",34.1484,-116.0655,"92277 92278"
"244","Mount Laguna","San Diego",32.8711,-116.4247,"91948"
"245","Rail Road Flat","Calaveras",38.3168,-120.491,"95245 95248"
"246","Sutter","Sutter",39.1557,-121.7492,"95982"
"247","Cleone","Mendocino",39.4927,-123.7812,"95437"
"248","Caribou","Plumas",40.0762,-121.1615,"95984"
"249","Zayante","Santa Cruz",37.0888,-122.0414,"95018"
"250","Cupertino","Santa Clara",37.3167,-122.0465,"95014 95015 95108"
"251","Tennant","Siskiyou",41.5817,-121.9148,"96058"
"252","Terra Bella","Tulare",35.9567,-119.0328,"93270"
"253","Stratford","Kings",36.1885,-119.8223,"93266"
"254","Charter Oak","Los Angeles",34.1025,-117.8564,"91724"
"255","Dollar Point","Placer",39.1905,-120.1089,"96145"
"256","Edgemont","Riverside",33.9203,-117.2787,"92553"
